User's manual r01uh0146jj0340-rl78g13; Version 1.00; June 20, 2018
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
DBC2L,15. 2. 3 DMAバイト・カウント・レジスタn（DBCn）,図15－3DMAバイト・カウント・レジスタn（DBCn）のフォーマット,,,
DBC2H,15. 2. 3 DMAバイト・カウント・レジスタn（DBCn）,図15－3DMAバイト・カウント・レジスタn（DBCn）のフォーマット,,,
DBC3,15. 2. 3 DMAバイト・カウント・レジスタn（DBCn）,図15－3DMAバイト・カウント・レジスタn（DBCn）のフォーマット,,,
DBC3L,15. 2. 3 DMAバイト・カウント・レジスタn（DBCn）,図15－3DMAバイト・カウント・レジスタn（DBCn）のフォーマット,,,
DBC3H,15. 2. 3 DMAバイト・カウント・レジスタn（DBCn）,図15－3DMAバイト・カウント・レジスタn（DBCn）のフォーマット,,,
DMC2,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,,,
DWAIT2,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,DWAITn
DS2,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,DSn
DRS2,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,DRSn
STG2,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,STGn
DMC3,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,,,
DWAIT3,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,DWAITn
DS3,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,DSn
DRS3,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,DRSn
STG3,15. 3. 1 DMAモード・コントロール・レジスタn（DMCn）,図15－4DMAモード・コントロール・レジスタn（DMCn）のフォーマット（1/3）,2,,STGn
DRC2,15. 3. 2 DMA動作コントロール・レジスタn（DRCn）,図15－5DMA動作コントロール・レジスタn（DRCn）のフォーマット,,,
DST2,15. 3. 2 DMA動作コントロール・レジスタn（DRCn）,図15－5DMA動作コントロール・レジスタn（DRCn）のフォーマット,3,,DSTn
DEN2,15. 3. 2 DMA動作コントロール・レジスタn（DRCn）,図15－5DMA動作コントロール・レジスタn（DRCn）のフォーマット,2,,DENn
DRC3,15. 3. 2 DMA動作コントロール・レジスタn（DRCn）,図15－5DMA動作コントロール・レジスタn（DRCn）のフォーマット,,,
DST3,15. 3. 2 DMA動作コントロール・レジスタn（DRCn）,図15－5DMA動作コントロール・レジスタn（DRCn）のフォーマット,3,,DSTn
DEN3,15. 3. 2 DMA動作コントロール・レジスタn（DRCn）,図15－5DMA動作コントロール・レジスタn（DRCn）のフォーマット,2,,DENn
IICCTL00,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,,,
SPT0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（4/4）,1,,SPTn
STT0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（3/4）,1,,STTn
ACKE0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（2/4）,1,,ACKEn
WTIM0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（2/4）,1,,WTIMn
SPIE0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（2/4）,1,,SPIEn
WREL0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,2,,WRELn
LREL0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,2,,LRELn
IICE0,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,2,,IICEn
IICCTL01,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（1/2）,,,
PRS0,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,PRSn
DFC0,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,DFCn
SMC0,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,SMCn
DAD0,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,DADn
CLD0,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,CLDn
WUP0,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（1/2）,2,,WUPn
IICWL0,13. 3. 6 IICAロウ・レベル幅設定レジスタn（IICWLn）,図13－10IICAロウ･レベル幅設定レジスタn（IICWLn）のフォーマット,,,
IICWH0,13. 3. 7 IICAハイ・レベル幅設定レジスタn（IICWHn）,図13－11IICAハイ･レベル幅設定レジスタn（IICWHn）のフォーマット,,,
SVA0,13. 2 シリアル・インタフェースIICAの構成,図13－4スレーブ・アドレス・レジスタn（SVAn）のフォーマット,,,
IICCTL10,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,,,
SPT1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（4/4）,1,,SPTn
STT1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（3/4）,1,,STTn
ACKE1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（2/4）,1,,ACKEn
WTIM1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（2/4）,1,,WTIMn
SPIE1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（2/4）,1,,SPIEn
WREL1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,2,,WRELn
LREL1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,2,,LRELn
IICE1,13. 3. 2 IICAコントロール・レジスタn0（IICCTLn0）,図13－6IICAコントロール・レジスタn0（IICCTLn0）のフォーマット（1/4）,2,,IICEn
IICCTL11,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（1/2）,,,
PRS1,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,PRSn
DFC1,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,DFCn
SMC1,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,SMCn
DAD1,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,DADn
CLD1,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（2/2）,1,,CLDn
WUP1,13. 3. 5 IICAコントロール・レジスタn1（IICCTLn1）,図13－9IICAコントロール・レジスタn1（IICCTLn1）のフォーマット（1/2）,2,,WUPn
IICWL1,13. 3. 6 IICAロウ・レベル幅設定レジスタn（IICWLn）,図13－10IICAロウ･レベル幅設定レジスタn（IICWLn）のフォーマット,,,
IICWH1,13. 3. 7 IICAハイ・レベル幅設定レジスタn（IICWHn）,図13－11IICAハイ･レベル幅設定レジスタn（IICWHn）のフォーマット,,,
SVA1,13. 2 シリアル・インタフェースIICAの構成,図13－4スレーブ・アドレス・レジスタn（SVAn）のフォーマット,,,
CRC0CTL,22. 3. 1 フラッシュ・メモリCRC演算機能（高速CRC）,図22－1フラッシュ・メモリCRC制御レジスタ（CRC0CTL）のフォーマット,,,
CRC0EN,22. 3. 1 フラッシュ・メモリCRC演算機能（高速CRC）,図22－1フラッシュ・メモリCRC制御レジスタ（CRC0CTL）のフォーマット,2,,
PGCRCL,22. 3. 1 フラッシュ・メモリCRC演算機能（高速CRC）,図22－2フラッシュ・メモリCRC演算結果レジスタ（PGCRCL）のフォーマット,,,
CRCD,22. 3. 2 CRC演算機能（汎用CRC）,図22－5CRCデータ・レジスタ（CRCD）のフォーマット,,,
P0,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P1,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P2,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P3,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,ポート機能,
P3,7. 3. 17 ポート・レジスタ3（P3）,図7－18ポート3（P3）のフォーマット,,リアルタイム・クロック,
P4,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P5,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P6,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P7,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P8,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P9,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P10,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P11,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P12,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P13,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P14,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
P15,4. 3. 2 ポート・レジスタ（Pxx）,図4－2ポート・レジスタのフォーマット,,,
SDR00,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO00,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
TXD0,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SDR01,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
RXD0,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO01,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SDR12,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO30,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
TXD3,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SDR13,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
RXD3,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO31,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
TDR00,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR01,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR01L,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR01H,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
ADCR,11. 3. 5 10ビットA/D変換結果レジスタ（ADCR）,図11－910ビットA/D変換結果レジスタ（ADCR）のフォーマット,,,
ADCRH,11. 3. 6 8ビットA/D変換結果レジスタ（ADCRH）,図11－108ビットA/D変換結果レジスタ（ADCRH）のフォーマット,,,
PM0,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM1,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM2,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM3,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,ポート機能,
PM3,7. 3. 16 ポート・モード・レジスタ3（PM3）,図7－17ポート・モード・レジスタ3（PM3）のフォーマット,,リアルタイム・クロック,
PM4,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM5,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM6,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,ポート機能,
PM6,13. 3. 8 ポート・モード・レジスタ6（PM6）,図13－12ポート・モード・レジスタ6（PM6）のフォーマット,,シリアル・インタフェースIICA,
PM7,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,ポート機能,
PM7,17. 3. 2 ポート・モード・レジスタ７（PM7）,図17－3ポート・モード・レジスタ7のフォーマット,,キー割り込み機能,
PM8,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM9,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM10,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM11,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM12,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM14,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
PM15,4. 3. 1 ポート・モード・レジスタ（PMxx）,図4－1ポート・モード・レジスタのフォーマット,,,
ADM0,11. 3. 2 A/Dコンバータ・モード・レジスタ0（ADM0）,図11－3A/Dコンバータ・モード・レジスタ0（ADM0）のフォーマット,,,
ADCE,11. 3. 2 A/Dコンバータ・モード・レジスタ0（ADM0）,図11－3A/Dコンバータ・モード・レジスタ0（ADM0）のフォーマット,2,,
ADCS,11. 3. 2 A/Dコンバータ・モード・レジスタ0（ADM0）,図11－3A/Dコンバータ・モード・レジスタ0（ADM0）のフォーマット,2,,
ADS,11. 3. 7 アナログ入力チャネル指定レジスタ（ADS）,図11－11アナログ入力チャネル指定レジスタ（ADS）のフォーマット（1/2）,,A/Dコンバータ,
ADS,22. 3. 8 A/Dテスト機能,図22－17アナログ入力チャネル指定レジスタ（ADS）のフォーマット,,安全機能,
ADM1,11. 3. 3 A/Dコンバータ・モード・レジスタ1（ADM1）,図11－6A/Dコンバータ・モード・レジスタ1（ADM1）のフォーマット,,,
KRM,17. 3. 1 キー・リターン・モード・レジスタ（KRM）,図17－2キー・リターン・モード・レジスタ（KRM）のフォーマット,,,
EGP0,"16. 3. 4 外部割り込み立ち上がりエッジ許可レジスタ（EGP0, EGP1）， 外部割り込み立ち下がりエッジ許可レジスタ（EGN0, EGN1）","図16－5外部割り込み立ち上がりエッジ許可レジスタ（EGP0,EGP1），外部割り込み立ち下がりエッジ許可レジスタ（EGN0,EGN1）のフォーマット",,,
EGN0,"16. 3. 4 外部割り込み立ち上がりエッジ許可レジスタ（EGP0, EGP1）， 外部割り込み立ち下がりエッジ許可レジスタ（EGN0, EGN1）","図16－5外部割り込み立ち上がりエッジ許可レジスタ（EGP0,EGP1），外部割り込み立ち下がりエッジ許可レジスタ（EGN0,EGN1）のフォーマット",,,
EGP1,"16. 3. 4 外部割り込み立ち上がりエッジ許可レジスタ（EGP0, EGP1）， 外部割り込み立ち下がりエッジ許可レジスタ（EGN0, EGN1）","図16－5外部割り込み立ち上がりエッジ許可レジスタ（EGP0,EGP1），外部割り込み立ち下がりエッジ許可レジスタ（EGN0,EGN1）のフォーマット",,,
EGN1,"16. 3. 4 外部割り込み立ち上がりエッジ許可レジスタ（EGP0, EGP1）， 外部割り込み立ち下がりエッジ許可レジスタ（EGN0, EGN1）","図16－5外部割り込み立ち上がりエッジ許可レジスタ（EGP0,EGP1），外部割り込み立ち下がりエッジ許可レジスタ（EGN0,EGN1）のフォーマット",,,
SDR02,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO10,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
TXD1,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SDR03,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
RXD1,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO11,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SDR10,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO20,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
TXD2,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SDR11,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
RXD2,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
SIO21,12. 3. 5 シリアル・データ・レジスタmn（SDRmn）,図12－9シリアル・データ・レジスタmn（SDRmn）のフォーマット,,,
IICA0,13. 2 シリアル・インタフェースIICAの構成,図13－3IICAシフト・レジスタn（IICAn）のフォーマット,,,
IICS0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（1/3）,,,
SPD0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（3/3）,1,,SPDn
STD0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（3/3）,1,,STDn
ACKD0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（3/3）,1,,ACKDn
TRC0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（2/3）,1,,TRCn
COI0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（2/3）,1,,COIn
EXC0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（2/3）,1,,EXCn
ALD0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（1/3）,3,,ALDn
MSTS0,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（1/3）,2,,MSTSn
IICF0,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,,,
IICRSV0,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,3,,IICRSVn
STCEN0,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,5,,STCENn
IICBSY0,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,2,,IICBSYn
STCF0,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,2,,STCFn
IICA1,13. 2 シリアル・インタフェースIICAの構成,図13－3IICAシフト・レジスタn（IICAn）のフォーマット,,,
IICS1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（1/3）,,,
SPD1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（3/3）,1,,SPDn
STD1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（3/3）,1,,STDn
ACKD1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（3/3）,1,,ACKDn
TRC1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（2/3）,1,,TRCn
COI1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（2/3）,1,,COIn
EXC1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（2/3）,1,,EXCn
ALD1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（1/3）,3,,ALDn
MSTS1,13. 3. 3 IICAステータス・レジスタn（IICSn）,図13－7IICAステータス・レジスタn（IICSn）のフォーマット（1/3）,2,,MSTSn
IICF1,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,,,
IICRSV1,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,3,,IICRSVn
STCEN1,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,5,,STCENn
IICBSY1,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,2,,IICBSYn
STCF1,13. 3. 4 IICAフラグ・レジスタn（IICFn）,図13－8IICAフラグ・レジスタn（IICFn）のフォーマット,2,,STCFn
TDR02,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR03,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR03L,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR03H,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR04,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR05,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR06,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR07,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR10,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR11,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR11L,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR11H,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR12,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR13,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR13L,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR13H,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－8タイマ・データ・レジスタmn（TDRmn）（n=1,3）のフォーマット",,,
TDR14,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
TDR15,6. 2. 2 タイマ・データ・レジスタmn（TDRmn）,"図6－7タイマ・データ・レジスタmn（TDRmn）（n=0,2,4-7）のフォーマット",,,
